   at PakistanAccountingERP.Infrastructure.Services.ScheduledBackupHostedService.ExecuteAsync(CancellationToken stoppingToken) in C:\Users\Muhammad Israr Ali\PakistanAccountingERP\src\Infrastructure\Services\ScheduledBackupHostedService.cs:line 44
2026-06-07 20:28:58.524 +05:00 [INF] HTTP GET /Users responded 200 in 20.0039 ms
2026-06-07 20:28:58.605 +05:00 [INF] HTTP GET /js/modules/users.js responded 200 in 37.3217 ms
2026-06-07 20:28:58.667 +05:00 [INF] HTTP GET /api/company/list responded 200 in 9.3853 ms
2026-06-07 20:28:58.688 +05:00 [INF] HTTP GET /api/users/lookups/roles responded 200 in 29.4273 ms
2026-06-07 20:28:58.705 +05:00 [INF] HTTP GET /api/users/lookups/companies responded 200 in 45.6489 ms
2026-06-07 20:28:58.712 +05:00 [INF] HTTP GET /api/company/current responded 200 in 27.2921 ms
2026-06-07 20:28:58.791 +05:00 [INF] HTTP GET /api/users/datatable responded 200 in 52.2607 ms
2026-06-07 20:29:16.038 +05:00 [INF] HTTP GET /api/users/e6e0346a-980a-4ce9-bf03-9f5034910f3a responded 200 in 26.7962 ms
2026-06-07 20:29:26.976 +05:00 [INF] HTTP PUT /api/users/e6e0346a-980a-4ce9-bf03-9f5034910f3a responded 200 in 163.5584 ms
2026-06-07 20:29:27.000 +05:00 [INF] HTTP GET /api/users/datatable responded 200 in 12.8290 ms
2026-06-07 20:29:33.456 +05:00 [INF] HTTP GET /Roles responded 200 in 15.0010 ms
2026-06-07 20:29:33.493 +05:00 [INF] HTTP GET /PakistanAccountingERP.Web.styles.css responded 304 in 0.2077 ms
2026-06-07 20:29:33.503 +05:00 [INF] HTTP GET /js/modules/roles.js responded 200 in 6.1551 ms
2026-06-07 20:29:33.582 +05:00 [INF] HTTP GET /api/company/list responded 200 in 11.7310 ms
2026-06-07 20:29:33.602 +05:00 [INF] HTTP GET /api/company/current responded 200 in 8.7270 ms
2026-06-07 20:29:33.602 +05:00 [INF] HTTP GET /api/roles responded 200 in 32.2043 ms
2026-06-07 20:29:36.507 +05:00 [INF] HTTP GET /AuditLogs responded 200 in 14.5761 ms
2026-06-07 20:29:36.564 +05:00 [INF] HTTP GET /js/modules/audit-logs.js responded 200 in 3.4038 ms
2026-06-07 20:29:36.658 +05:00 [INF] HTTP GET /api/company/list responded 200 in 6.9375 ms
2026-06-07 20:29:36.664 +05:00 [INF] HTTP GET /api/company/current responded 200 in 6.5253 ms
2026-06-07 20:29:36.680 +05:00 [INF] HTTP GET /api/company/current responded 200 in 5.2705 ms
2026-06-07 20:29:36.751 +05:00 [INF] HTTP GET /api/audit-logs/datatable responded 200 in 64.6843 ms
2026-06-07 20:29:40.719 +05:00 [INF] HTTP GET /FiscalYears responded 200 in 17.8788 ms
2026-06-07 20:29:40.764 +05:00 [INF] HTTP GET /js/modules/fiscal-years.js responded 200 in 2.8050 ms
2026-06-07 20:29:40.810 +05:00 [INF] HTTP GET /api/company/current responded 200 in 20.5962 ms
2026-06-07 20:29:40.812 +05:00 [INF] HTTP GET /api/company/list responded 200 in 22.0675 ms
2026-06-07 20:29:40.921 +05:00 [INF] HTTP GET /api/company/current responded 200 in 34.4245 ms
2026-06-07 20:29:41.138 +05:00 [INF] HTTP GET /api/fiscal-years/datatable responded 200 in 251.8352 ms
2026-06-07 20:29:54.027 +05:00 [INF] HTTP GET /SystemJobs responded 200 in 15.6998 ms
2026-06-07 20:29:54.081 +05:00 [INF] HTTP GET /js/modules/system-jobs.js responded 200 in 3.6373 ms
2026-06-07 20:29:54.107 +05:00 [INF] HTTP GET /api/company/list responded 200 in 6.7090 ms
2026-06-07 20:29:54.142 +05:00 [INF] HTTP GET /api/company/current responded 200 in 24.9394 ms
2026-06-07 20:29:54.143 +05:00 [INF] HTTP GET /api/system-jobs/exports/types responded 200 in 28.4780 ms
2026-06-07 20:29:54.155 +05:00 [INF] HTTP GET /api/company/current responded 200 in 12.4482 ms
2026-06-07 20:29:54.318 +05:00 [INF] HTTP GET /api/system-jobs/backups/datatable responded 200 in 204.9897 ms
2026-06-07 20:29:54.318 +05:00 [INF] HTTP GET /api/system-jobs/exports/datatable responded 200 in 99.1995 ms
2026-06-07 20:29:59.043 +05:00 [INF] HTTP GET /SystemHealth responded 200 in 13.4631 ms
2026-06-07 20:29:59.093 +05:00 [INF] HTTP GET /js/modules/system-health.js responded 200 in 3.9280 ms
2026-06-07 20:29:59.134 +05:00 [INF] HTTP GET /api/company/list responded 200 in 9.5398 ms
2026-06-07 20:29:59.210 +05:00 [INF] HTTP GET /api/system-health responded 200 in 83.1630 ms
2026-06-07 20:29:59.224 +05:00 [INF] HTTP GET /api/company/current responded 200 in 12.0942 ms
2026-06-07 20:30:03.555 +05:00 [INF] HTTP GET /CompanySettings responded 200 in 6.9466 ms
2026-06-07 20:30:03.685 +05:00 [INF] HTTP GET /api/company/list responded 200 in 6.8031 ms
2026-06-07 20:30:03.703 +05:00 [INF] HTTP GET /api/lookup/provinces responded 200 in 9.1255 ms
2026-06-07 20:30:03.741 +05:00 [INF] HTTP GET /api/company/current responded 200 in 20.3079 ms
2026-06-07 20:30:03.753 +05:00 [INF] HTTP GET /api/company/current responded 200 in 6.4547 ms
2026-06-07 20:30:03.769 +05:00 [INF] HTTP GET /api/company/manage responded 200 in 21.8087 ms
2026-06-07 20:30:03.789 +05:00 [INF] HTTP GET /api/company-settings responded 200 in 21.7182 ms
2026-06-07 20:30:14.792 +05:00 [INF] HTTP GET / responded 200 in 11.6753 ms
2026-06-07 20:30:14.838 +05:00 [INF] HTTP GET /PakistanAccountingERP.Web.styles.css responded 304 in 0.6036 ms
2026-06-07 20:30:14.937 +05:00 [INF] HTTP GET /api/company/list responded 200 in 46.6167 ms
2026-06-07 20:30:15.018 +05:00 [INF] HTTP GET /api/company/current responded 200 in 10.2759 ms
2026-06-07 20:30:15.132 +05:00 [INF] HTTP GET /api/dashboard responded 200 in 241.2064 ms
2026-06-07 20:30:20.578 +05:00 [INF] HTTP GET /SalesInvoices responded 200 in 29.3767 ms
2026-06-07 20:30:20.616 +05:00 [INF] HTTP GET /js/modules/sales-invoice-fbr.js responded 304 in 0.2255 ms
2026-06-07 20:30:20.622 +05:00 [INF] HTTP GET /js/modules/sales-invoices.js responded 304 in 0.4924 ms
2026-06-07 20:30:20.659 +05:00 [INF] HTTP GET /api/company/list responded 200 in 19.1453 ms
2026-06-07 20:30:20.666 +05:00 [INF] HTTP GET /api/company/current responded 200 in 25.5573 ms
2026-06-07 20:30:20.724 +05:00 [INF] HTTP GET /api/company/current responded 200 in 6.1876 ms
2026-06-07 20:30:20.801 +05:00 [INF] HTTP GET /api/sales-invoices/datatable responded 200 in 81.7896 ms
2026-06-07 20:30:24.227 +05:00 [INF] HTTP GET /CustomerReceipts responded 200 in 22.0369 ms
2026-06-07 20:30:24.264 +05:00 [INF] HTTP GET /js/modules/customer-receipts.js responded 304 in 0.4741 ms
2026-06-07 20:30:24.308 +05:00 [INF] HTTP GET /api/company/list responded 200 in 6.1594 ms
2026-06-07 20:30:24.316 +05:00 [INF] HTTP GET /api/company/current responded 200 in 7.1204 ms
2026-06-07 20:30:24.387 +05:00 [INF] HTTP GET /api/company/current responded 200 in 6.7927 ms
2026-06-07 20:30:24.441 +05:00 [INF] HTTP GET /api/customer-receipts/banks responded 200 in 44.3410 ms
2026-06-07 20:30:24.489 +05:00 [INF] HTTP GET /api/customer-receipts/customers responded 200 in 97.3066 ms
2026-06-07 20:30:24.577 +05:00 [INF] HTTP GET /api/customer-receipts/datatable responded 200 in 59.6442 ms
2026-06-07 20:30:28.133 +05:00 [INF] HTTP GET /SalesInvoices/Create responded 200 in 24.8427 ms
2026-06-07 20:30:28.174 +05:00 [INF] HTTP GET /js/modules/sales-invoice-create.js responded 200 in 3.4898 ms
2026-06-07 20:30:28.227 +05:00 [INF] HTTP GET /api/company/list responded 200 in 5.4747 ms
2026-06-07 20:30:28.240 +05:00 [INF] HTTP GET /api/company/current responded 200 in 9.5221 ms
2026-06-07 20:30:28.298 +05:00 [INF] HTTP GET /api/company/current responded 200 in 6.5167 ms
2026-06-07 20:30:28.339 +05:00 [INF] HTTP GET /api/lookup/provinces responded 200 in 14.9374 ms
2026-06-07 20:30:28.399 +05:00 [INF] HTTP GET /api/lookup/scenario-types responded 200 in 75.1223 ms
2026-06-07 20:30:28.423 +05:00 [INF] HTTP GET /api/sales-invoices/next-invoice-number responded 200 in 108.2722 ms
2026-06-07 20:30:28.424 +05:00 [INF] HTTP GET /api/sales-invoices/tax-rates responded 200 in 99.7640 ms
2026-06-07 20:30:28.431 +05:00 [INF] HTTP GET /api/sales-invoices/customers responded 200 in 108.4286 ms
2026-06-07 20:30:28.480 +05:00 [INF] HTTP GET /api/sales-invoices/items responded 200 in 154.8605 ms
2026-06-07 20:30:28.976 +05:00 [INF] HTTP GET /api/sales-invoices/stack-availability responded 200 in 138.4812 ms
2026-06-07 20:30:29.165 +05:00 [INF] HTTP GET /Customers responded 200 in 23.4790 ms
2026-06-07 20:30:29.203 +05:00 [INF] HTTP GET /js/modules/customers.js responded 304 in 0.2831 ms
2026-06-07 20:30:29.254 +05:00 [INF] HTTP GET /api/company/list responded 200 in 8.8357 ms
2026-06-07 20:30:29.262 +05:00 [INF] HTTP GET /api/lookup/scenario-types responded 200 in 12.4893 ms
2026-06-07 20:30:29.262 +05:00 [INF] HTTP GET /api/lookup/provinces responded 200 in 14.5779 ms
2026-06-07 20:30:29.329 +05:00 [INF] HTTP GET /api/company/current responded 200 in 6.7955 ms
2026-06-07 20:30:29.360 +05:00 [INF] HTTP GET /api/company/current responded 200 in 7.2160 ms
2026-06-07 20:30:29.486 +05:00 [INF] HTTP GET /api/customers/datatable responded 200 in 101.8802 ms
2026-06-07 20:30:48.852 +05:00 [INF] HTTP GET /api/customers/5 responded 200 in 48.8801 ms
2026-06-07 20:30:58.017 +05:00 [INF] HTTP PUT /api/customers/5 responded 200 in 172.6794 ms
2026-06-07 20:30:58.038 +05:00 [INF] HTTP GET /api/customers/datatable responded 200 in 11.2645 ms
2026-06-07 20:31:03.375 +05:00 [INF] HTTP GET /api/customers/6 responded 200 in 4.5238 ms
2026-06-07 20:31:11.190 +05:00 [INF] HTTP PUT /api/customers/6 responded 200 in 26.1339 ms
2026-06-07 20:31:11.211 +05:00 [INF] HTTP GET /api/customers/datatable responded 200 in 11.0996 ms
2026-06-07 20:31:45.688 +05:00 [INF] HTTP GET /api/customers/datatable responded 200 in 57.5896 ms
2026-06-07 20:31:54.287 +05:00 [INF] HTTP GET /api/customers/datatable responded 200 in 50.8172 ms
2026-06-07 20:31:58.025 +05:00 [INF] HTTP GET /api/customers/datatable responded 200 in 13.1774 ms
2026-06-07 20:32:28.388 +05:00 [INF] HTTP GET /SalesInvoices responded 200 in 9.7303 ms
2026-06-07 20:32:28.425 +05:00 [INF] HTTP GET /PakistanAccountingERP.Web.styles.css responded 304 in 1.0136 ms
2026-06-07 20:32:28.574 +05:00 [INF] HTTP GET /api/company/current responded 200 in 20.9304 ms
2026-06-07 20:32:28.578 +05:00 [INF] HTTP GET /api/company/list responded 200 in 27.4890 ms
2026-06-07 20:32:28.610 +05:00 [INF] HTTP GET /api/company/current responded 200 in 9.1887 ms
2026-06-07 20:32:28.636 +05:00 [INF] HTTP GET /api/sales-invoices/datatable responded 200 in 37.4389 ms
2026-06-07 20:32:32.778 +05:00 [INF] HTTP GET /JournalEntries responded 200 in 5.5420 ms
2026-06-07 20:32:32.853 +05:00 [INF] HTTP GET /api/company/list responded 200 in 9.3946 ms
2026-06-07 20:32:32.860 +05:00 [INF] HTTP GET /api/company/current responded 200 in 17.9263 ms
2026-06-07 20:32:32.928 +05:00 [INF] HTTP GET /api/company/current responded 200 in 10.3449 ms
2026-06-07 20:32:32.966 +05:00 [INF] HTTP GET /api/journal-entries/datatable responded 200 in 47.6520 ms
2026-06-07 20:32:35.061 +05:00 [INF] HTTP GET /ChartOfAccounts responded 200 in 8.5772 ms
2026-06-07 20:32:35.152 +05:00 [INF] HTTP GET /api/lookup/account-types responded 200 in 10.9255 ms
2026-06-07 20:32:35.166 +05:00 [INF] HTTP GET /api/company/list responded 200 in 30.1143 ms
2026-06-07 20:32:35.237 +05:00 [INF] HTTP GET /api/company/current responded 200 in 13.1731 ms
2026-06-07 20:32:35.269 +05:00 [INF] HTTP GET /api/chart-of-accounts/tree responded 200 in 45.2440 ms
2026-06-07 20:33:03.334 +05:00 [INF] HTTP GET /Items responded 200 in 25.3135 ms
2026-06-07 20:33:03.383 +05:00 [INF] HTTP GET /js/modules/items.js responded 304 in 0.2786 ms
2026-06-07 20:33:03.423 +05:00 [INF] HTTP GET /api/company/list responded 200 in 5.1911 ms
2026-06-07 20:33:03.430 +05:00 [INF] HTTP GET /api/company/current responded 200 in 7.3466 ms
2026-06-07 20:33:03.467 +05:00 [INF] HTTP GET /api/company/current responded 200 in 8.1519 ms
2026-06-07 20:33:03.525 +05:00 [INF] HTTP GET /api/items/categories responded 200 in 27.9950 ms
